"battalion","incident_date_month","incidents_count","avg_minutes_to_arrival","avg_minutes_to_close","avg_suppression_units","avg_suppression_personnel","avg_ems_units","avg_ems_personnel","avg_other_units","avg_other_personnel","avg_estimated_property_loss","avg_estimated_contents_loss","avg_fire_fatalities","avg_fire_injuries","avg_civilian_fatalities","avg_civilian_injuries","avg_number_of_alarms","count_detectors_present","avg_number_of_floors_with_minimum_damage","avg_number_of_floors_with_significant_damage","avg_number_of_floors_with_heavy_damage","avg_number_of_floors_with_extreme_damage","count_automatic_extinguishing_system_present"
"B01","2005-11-01 00:00:00+00",300,-4.274611111111111,-21.908166666666666,2.763333333333333,10.4,0.03333333333333333,0.06,0.003333333333333333,0.006666666666666667,49.21,13.693333333333333,0.0,0.0,0.0,0.0,1.0033333333333334,4,0.7777777777777778,0.1111111111111111,0.0,0.0,2
"B01","2005-12-01 00:00:00+00",329,-4.58596757852077,-19.01484295845998,2.7659574468085104,10.425531914893616,0.030395136778115502,0.0486322188449848,0.0182370820668693,0.05167173252279635,1824.7720364741642,650.9118541033434,0.0,0.0,0.0,0.0,1.0030395136778116,4,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0,4
"B01","2006-01-01 00:00:00+00",336,-3.515972222222222,-18.89543650793651,2.6785714285714284,10.395833333333334,0.047619047619047616,0.1130952380952381,0.002976190476190476,0.005952380952380952,328.73809523809524,137.41369047619048,0.0,0.0,0.0,0.0,1.0,4,0.8571428571428571,0.14285714285714285,0.0,0.0,3
"B01","2006-02-01 00:00:00+00",312,-3.9026175213675214,-19.34139957264957,2.4871794871794872,9.46474358974359,0.038461538461538464,0.060897435897435896,0.009615384615384616,0.019230769230769232,772.1185897435897,579.9711538461538,0.0,0.0,0.0,0.0,1.0032051282051282,3,0.5,0.25,0.0,0.0,1
"B01","2006-03-01 00:00:00+00",297,-3.430695847362514,-16.33080808080808,2.8585858585858586,10.175084175084175,0.04713804713804714,0.08080808080808081,0.0,0.0,2064.824915824916,355.06734006734007,0.0,0.0,0.0,0.0,1.0033670033670035,5,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,NULL
"B01","2006-04-01 00:00:00+00",268,-3.2509328358208953,-15.210447761194029,2.8358208955223883,10.701492537313433,0.041044776119402986,0.06716417910447761,0.0,0.0,101.96268656716418,48,0.0,0.0,0.0,0.0,1.0,9,0.9090909090909091,0.09090909090909091,0.0,0.0,2
"B01","2006-05-01 00:00:00+00",283,-3.8755594817432275,-18.66831566548881,2.6607773851590104,10.459363957597173,0.06713780918727916,0.11307420494699646,0.0,0.0,1.9540636042402826,0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,NULL
"B01","2006-06-01 00:00:00+00",328,-3.3710873983739837,-17.396493902439026,2.707317073170732,10.134146341463415,0.039634146341463415,0.07317073170731707,0.003048780487804878,0.003048780487804878,92.83536585365853,3.1888544891640866,0.0,0.0,0.0,0.0,1.0,5,0.8888888888888888,0.0,0.0,0.0,4
"B01","2006-07-01 00:00:00+00",351,-4.2372744539411205,-16.878110161443495,2.7663817663817665,10.287749287749287,0.03418803418803419,0.06552706552706553,0.002849002849002849,0.002849002849002849,59.29059829059829,0.029411764705882353,0.0,0.0,0.0,0.0,1.0,5,0.75,0.0,0.125,0.0,3
"B01","2006-08-01 00:00:00+00",306,-3.4793028322440085,-16.540631808278867,2.4607843137254903,9.529411764705882,0.03594771241830065,0.08496732026143791,0.0,0.0,199.01960784313727,68.77076411960132,0.0,0.0,0.0,0.0,1.0,2,0.5,0.16666666666666666,0.0,0.0,3
"B01","2006-09-01 00:00:00+00",352,-3.5531723484848485,-27.911126893939393,2.4318181818181817,8.957386363636363,0.12215909090909091,0.25,0.002840909090909091,0.005681818181818182,12.698863636363637,0.515850144092219,0.0,0.0,0.0,0.0,1.0,1,0.8,0.0,0.0,0.0,2
"B01","2006-10-01 00:00:00+00",297,-3.9526374859708193,-20.05662177328844,2.8181818181818183,9.515151515151516,0.13804713804713806,0.2727272727272727,0.0,0.0,27.77777777777778,12.705479452054794,0.0,0.0,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,2
"B01","2006-11-01 00:00:00+00",283,-3.4201413427561835,-22.4952296819788,2.628975265017668,9.27208480565371,0.0989399293286219,0.17667844522968199,0.01060070671378092,0.014134275618374558,5.319148936170213,1.1627906976744187,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,NULL
"B01","2006-12-01 00:00:00+00",323,-5.047626418988648,-25.18921568627451,2.461300309597523,9.269349845201239,0.13312693498452013,0.29411764705882354,0.0,0.0,284.1747572815534,147.64397905759162,0.0,0.0,0.0,0.0,1.0,4,0.75,0.25,0.0,0.0,2
"B01","2007-01-01 00:00:00+00",364,-7.2492216117216115,-26.702655677655677,2.5357142857142856,9.587912087912088,0.13186813186813187,0.2554945054945055,0.013736263736263736,0.019230769230769232,2354,352.95,0.0,0.0,0.0,0.002747252747252747,1.0,1,1.0,0.0,0.0,0.0,1
"B01","2007-02-01 00:00:00+00",321,-5.865732087227414,-28.297871235721704,2.5077881619937696,9.392523364485982,0.10903426791277258,0.21495327102803738,0.0,0.0,60990,7543.1,0.0,0.006230529595015576,0.0,0.006230529595015576,1.003115264797508,NULL,1.0,0.5,0.0,0.0,NULL
"B01","2007-03-01 00:00:00+00",315,-5.209365079365079,-22.402962962962963,2.726984126984127,9.75873015873016,0.10793650793650794,0.19047619047619047,0.0031746031746031746,0.0031746031746031746,1837.2325581395348,293.6666666666667,0.0,0.0,0.0,0.0,1.0,5,0.75,0.0,0.0,0.0,3
"B01","2007-04-01 00:00:00+00",283,-5.0974087161366315,-21.197879858657245,2.7597173144876326,10.434628975265017,0.06713780918727916,0.13074204946996468,0.0,0.0,4251.558823529412,1211,0.0,0.0,0.0,0.0,1.0,13,1.0526315789473684,0.10526315789473684,0.0,0.0,8
"B01","2007-05-01 00:00:00+00",309,-6.503451995685006,-23.079341963322545,2.634304207119741,10.03883495145631,0.08414239482200647,0.15210355987055016,0.003236245954692557,0.006472491909385114,4036.25,619.6206896551724,0.0,0.0,0.0,0.0,1.0,8,1.0,0.0,0.0,0.0,6
"B01","2007-06-01 00:00:00+00",305,-5.334644808743169,-23.615573770491803,2.4,8.944262295081968,0.09508196721311475,0.18032786885245902,0.009836065573770493,0.019672131147540985,2218.90625,691.425,0.0,0.0,0.0,0.0,1.0,4,0.8571428571428571,0.0,0.0,0.0,2
"B01","2007-07-01 00:00:00+00",374,-5.4162210338680925,-18.716131907308377,2.585561497326203,9.906417112299465,0.05614973262032086,0.10695187165775401,0.00267379679144385,0.00267379679144385,518.7777777777778,295.58,0.0,0.0,0.0,0.0,1.0,5,0.8333333333333334,0.0,0.0,0.0,NULL
"B01","2007-08-01 00:00:00+00",367,-4.8652134423251585,-20.469164396003634,2.4768392370572205,9.479564032697548,0.09536784741144415,0.2098092643051771,0.008174386920980926,0.013623978201634877,4973.809523809524,937.375,0.0,0.0,0.0,0.0,1.0,1,0.6666666666666666,0.3333333333333333,0.0,0.0,1
"B01","2007-09-01 00:00:00+00",280,-5.675535714285714,-20.282261904761906,2.442857142857143,9.189285714285715,0.05,0.08214285714285714,0.0,0.0,460.7142857142857,69.89285714285714,0.0,0.0,0.0,0.0,1.0,4,0.8,0.0,0.0,0.0,1
"B01","2007-10-01 00:00:00+00",317,-5.700525762355415,-21.538590956887486,2.634069400630915,9.517350157728707,0.07886435331230283,0.15141955835962145,0.012618296529968454,0.022082018927444796,465.5777777777778,274.03921568627453,0.0,0.0,0.0,0.0,1.0,1,0.6,0.0,0.0,0.0,NULL
"B01","2007-11-01 00:00:00+00",290,-4.882183908045977,-22.493045977011494,2.9310344827586206,10.510344827586207,0.09655172413793103,0.18275862068965518,0.0,0.0,27837.8125,2073.7884615384614,0.0,0.0,0.0,0.0,1.006896551724138,10,0.7777777777777778,0.1111111111111111,0.05555555555555555,0.0,5
"B01","2007-12-01 00:00:00+00",306,-5.945751633986928,-22.976252723311546,2.741830065359477,10.405228758169935,0.06209150326797386,0.12418300653594772,0.0032679738562091504,0.00980392156862745,2850,1798.7857142857142,0.0,0.0,0.0,0.0032679738562091504,1.0,4,1.0,0.0,0.0,0.0,2
